,Z,N,symbol, energy [keV] ,unc, jp,half-life operator,half_life,unc.1,unit,half_life[s],unc.2,decay,decay %,unc.3,decay.1,decay %.1,unc.4,decay.2,decay %.2,unc.5,isospin,magn. dipole,unc.6,elect.quadrupole ,unc.7
0,Z,N,symbol,energy , unc, jp,half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc
1,93,144,Np,0, ,5/2, ,2.144E+6,7,Y,67658049289525.25,220898481822.144,A,100, ,SF,0.0000000002, , , , , ,3.14, ,3.886, 
2,93,144,Np,33.19629,0.00022,7/2, ,54,24,ps,0.000000000054,0.000000000024, , , , , , , , , , , , , , 
3,93,144,Np,59.54092,0.0001,5/2, ,67.2,7,ns,0.0000000672,0.0000000007, , , , , , , , , , ,1.68, ,3.85, 
4,93,144,Np,75.899,0.005,9/2,AP,28, ,ps,0.000000000028, , , , , , , , , , , , , , , 
5,93,144,Np,102.959,0.003,7/2, ,80,40,ps,0.00000000008,0.00000000004, , , , , , , , , , , , , , 
6,93,144,Np,129.99,0.03,11/2, , , , , , , , , , , , , , , , , , , , 
7,93,144,Np,158.497,0.011,9/2, , , , , , , , , , , , , , , , , , , , 
8,93,144,Np,191.53,0.06,13/2, , , , , , , , , , , , , , , , , , , , 
9,93,144,Np,225.957,0.016,11/2, , , , , , , , , , , , , , , , , , , , 
10,93,144,Np,267.556,0.012,3/2, ,5.2,2,ns,0.0000000052,0.0000000002, , , , , , , , , , , , , , 
11,93,144,Np,268.8,0.16,15/2, , , , , , , , , , , , , , , , , , , , 
12,93,144,Np,281.356,0.018,1/2, , , , , , , , , , , , , , , , , , , , 
13,93,144,Np,305.05,0.03,13/2, , , , , , , , , , , , , , , , , , , , 
14,93,144,Np,316.8,0.2,0, , , , , , , , , , , , , , , , , , , , 
15,93,144,Np,324.42,0.023,7/2, , , , , , , , , , , , , , , , , , , , 
16,93,144,Np,332.376,0.016,1/2,LE,1.0, ,ns,0.000000001, , , , , , , , , , , , , , , 
17,93,144,Np,347.62,0.18,17/2, , , , , , , , , , , , , , , , , , , , 
18,93,144,Np,359.7,0.1,5/2, , , , , , , , , , , , , , , , , , , , 
19,93,144,Np,368.602,0.02,5/2, , , , , , , , , , , , , , , , , , , , 
20,93,144,Np,370.928,0.023,3/2, , , , , , , , , , , , , , , , , , , , 
21,93,144,Np,395.53,0.04,15/2, , , , , , , , , , , , , , , , , , , , 
22,93,144,Np,418.2,0.1,0, , , , , , , , , , , , , , , , , , , , 
23,93,144,Np,434.12,0.05,11/2, , , , , , , , , , , , , , , , , , , , 
24,93,144,Np,444.78,0.1,0, , , , , , , , , , , , , , , , , , , , 
25,93,144,Np,452.52,0.2,19/2, , , , , , , , , , , , , , , , , , , , 
26,93,144,Np,452.545,0.022,9/2, , , , , , , , , , , , , , , , , , , , 
27,93,144,Np,459.693,0.024,7/2, , , , , , , , , , , , , , , , , , , , 
28,93,144,Np,486.21,0.09,9/2, , , , , , , , , , , , , , , , , , , , 
29,93,144,Np,497.01,0.05,17/2, , , , , , , , , , , , , , , , , , , , 
30,93,144,Np,514.19,0.04,3/2, , , , , , , , , , , , , , , , , , , , 
31,93,144,Np,544.8,0.23,21/2, , , , , , , , , , , , , , , , , , , , 
32,93,144,Np,546.12,0.06,5/2, , , , , , , , , , , , , , , , , , , , 
33,93,144,Np,590.09,0.04,7/2, , , , , , , , , , , , , , , , , , , , 
34,93,144,Np,592.33,0.07,13/2, , , , , , , , , , , , , , , , , , , , 
35,93,144,Np,597.99,0.09,11/2, , , , , , , , , , , , , , , , , , , , 
36,93,144,Np,609.3,0.3,19/2, , , , , , , , , , , , , , , , , , , , 
37,93,144,Np,618,2,0, , , , , , , , , , , , , , , , , , , , 
38,93,144,Np,646.03,0.17,9/2, , , , , , , , , , , , , , , , , , , , 
39,93,144,Np,666.19,0.1, 7/2, , , , , , , , , , , , , , , , , , , , 
40,93,144,Np,681.63,0.24,23/2, , , , , , , , , , , , , , , , , , , , 
41,93,144,Np,709,3,11/2, , , , , , , , , , , , , , , , , , , , 
